Taille	TempsQuickSort	TempsMonTriHeap	TempsFusionTri
446	0.000119	0.000106	0.000103
447	0.000123	0.000105	0.000105
448	0.000122	0.000106	0.000104
449	0.000127	0.000104	0.000101
450	0.000120	0.000109	0.000100
451	0.000118	0.000105	0.000105
452	0.000122	0.000107	0.000106
453	0.000116	0.000107	0.000104
454	0.000123	0.000109	0.000101
455	0.000142	0.000119	0.000102
456	0.000119	0.000110	0.000101
457	0.000117	0.000110	0.000107
458	0.000128	0.000108	0.000106
459	0.000124	0.000108	0.000104
460	0.000124	0.000109	0.000102
461	0.000120	0.000107	0.000103
462	0.000127	0.000111	0.000119
463	0.000124	0.000111	0.000123
464	0.000136	0.000111	0.000109
465	0.000135	0.000109	0.000119
466	0.000126	0.000111	0.000105
467	0.000127	0.000112	0.000111
468	0.000128	0.000113	0.000109
469	0.000128	0.000112	0.000111
470	0.000126	0.000115	0.000105
471	0.000131	0.000110	0.000105
472	0.000126	0.000115	0.000111
473	0.000125	0.000113	0.000110
474	0.000132	0.000115	0.000113
475	0.000128	0.000114	0.000107
476	0.000146	0.000124	0.000107
477	0.000131	0.000112	0.000113
478	0.000129	0.000114	0.000115
479	0.000130	0.000122	0.000137
480	0.000134	0.000116	0.000107
481	0.000133	0.000115	0.000107
482	0.000129	0.000119	0.000116
483	0.000138	0.000116	0.000113
484	0.000139	0.000117	0.000115
485	0.000136	0.000116	0.000109
486	0.000166	0.000118	0.000109
487	0.000141	0.000117	0.000118
488	0.000137	0.000117	0.000115
489	0.000139	0.000116	0.000116
490	0.000136	0.000118	0.000109
491	0.000132	0.000117	0.000117
492	0.000161	0.000119	0.000116
493	0.000138	0.000119	0.000116
494	0.000142	0.000117	0.000110
495	0.000146	0.000120	0.000110
496	0.000148	0.000119	0.000110
497	0.000144	0.000122	0.000121
498	0.000138	0.000119	0.000117
499	0.000143	0.000121	0.000111
500	0.000143	0.000120	0.000114
501	0.000145	0.000121	0.000135
502	0.000148	0.000120	0.000118
503	0.000141	0.000121	0.000118
504	0.000143	0.000121	0.000114
505	0.000148	0.000147	0.000114
506	0.000153	0.000122	0.000119
507	0.000143	0.000123	0.000118
508	0.000147	0.000120	0.000119
509	0.000147	0.000120	0.000113
510	0.000142	0.000123	0.000115
511	0.000150	0.000122	0.000118
512	0.000144	0.000121	0.000119
513	0.000149	0.000124	0.000114
514	0.000148	0.000123	0.000113
515	0.000155	0.000126	0.000132
516	0.000151	0.000126	0.000122
517	0.000150	0.000123	0.000125
518	0.000152	0.000126	0.000117
519	0.000151	0.000128	0.000117
520	0.000160	0.000139	0.000136
521	0.000148	0.000125	0.000122
522	0.000151	0.000125	0.000117
